category_id,description,level_id,スタディ,ヘルス,モラル,コミュニケーション
1,クイズ番組を見る,1,10,0,0,0
1,ネットで調べる,1,10,0,0,0
1,ペン回ししない,1,0,0,10,0
1,書くものを持ってくる,1,10,0,0,0
1,1日1回は掲示板を見る,2,20,0,0,0
1,ニュースを見る,2,15,0,5,0
1,ノートを持ってくる,2,10,2,3,5
1,パソコンをいじる,2,10,5,5,0
1,学校にくる,2,10,10,0,0
1,掲示板を見る,2,10,0,5,5
1,講義をサボらない,2,15,5,0,0
1,授業中にケータイをいじらない,2,10,0,10,0
1,忘れ物をしない,2,10,0,10,0
1,PCルームに行く,3,30,0,0,0
1,参考書を忘れない,3,20,0,10,0
1,授業中に寝ない,3,15,0,15,0
1,新聞を見る,3,20,0,10,0
1,先生の話をきく,3,20,0,0,10
1,ニュースに関心を持つ,4,35,0,5,0
1,課題や宿題は忘れない,4,40,0,0,0
1,授業に使う物を忘れない,4,10,0,20,10
1,授業をサボらない,4,20,0,20,0
1,授業中スマートフォンを見ない,4,20,0,15,5
1,授業中ノートをとる,4,35,0,5,0
1,遅刻しない,4,20,0,20,0
1,"朝、必ずニュースを見てから出校する",4,10,0,10,20
1,復習をする,4,40,0,0,0
1,PCでなにか調べる,5,35,5,10,0
1,課題の提出期限を守る,5,20,0,30,0
1,休まず出席する,5,30,0,20,0
1,参考になる話をメモする,5,25,0,0,25
1,"毎日、一時間以上授業を受ける",5,50,0,0,0
1,予習をする,5,50,0,0,0
1,自宅で一時間以上勉強をする,6,60,0,0,0
1,授業中私語をしない,6,30,0,30,0
1,本を読む,6,60,0,0,0
1,1日30分勉強する,7,65,5,0,0
1,講義でわからないことを調べる,7,40,10,10,10
1,授業中にメモをとる,7,70,0,0,0
1,睡眠学習をしない,7,15,5,50,0
1,"予習、復習をする",7,60,10,0,0
1,7号館学修支援センターに行く,8,50,10,10,10
1,アハ体験をする,8,80,0,0,0
1,わからないことがあったら質問する,8,50,0,10,20
1,人の話をしっかり聞く,8,10,0,50,20
1,辞書を活用する,9,90,0,0,0
1,図書館新館にあるビデオを見る,9,60,10,20,0
1,図書室に行く,9,45,45,0,0
1,先生に質問しに行く,9,60,0,0,30
2,いいシャンプーを使う,1,0,10,0,0
2,ゲームは1日三時間,1,0,10,0,0
2,その日の自分の良かった事を思い出す,1,0,10,0,0
2,音楽を聴く,1,0,10,0,0
2,牛乳を飲む,1,0,10,0,0
2,近場には歩いて移動する,1,0,10,0,0
2,携帯やテレビを使いすぎない,1,0,5,0,5
2,手洗いうがいをする,1,0,5,5,0
2,適度な息抜きをする,1,0,10,0,0
2,歩く,1,0,10,0,0
2,明るい所で字を読む,1,5,5,0,0
2,友達の話を聞いてあげる,1,0,5,0,5
2,塩分高めのものを控える,2,0,20,0,0
2,外食を避ける,2,0,20,0,0
2,軽いジョギング,2,0,20,0,0
2,散歩をする,2,0,15,0,5
2,浴槽にしっかり入る,2,0,10,10,0
2,できるだけ歩いて移動する,3,0,20,0,10
2,軽い運動する,3,0,30,0,0
2,掃除する,3,0,20,10,0
2,早起きをする,3,0,25,5,0
2,早寝をする,3,0,25,5,0
2,朝食を食べる,3,0,20,10,0
2,風呂上がりにストレッチ,3,0,30,0,0
2,野菜を食べる,3,0,30,0,0
2,1日のうち何か運動をする,4,0,40,0,0
2,ストレッチをする,4,0,40,0,0
2,睡眠時間をしっかりとる,4,0,30,10,0
2,料理をつくる,4,10,30,0,0
2,3食しっかり食べる,5,0,50,0,0
2,なるべく階段を使う,5,0,50,0,0
2,バランスの良い食事をする,5,0,50,0,0
2,早寝早起きをする,5,0,40,10,0
2,適度な睡眠時間をとる,5,10,40,0,0
2,部屋を綺麗に保つ,5,0,25,25,0
2,ジョギングする,6,0,40,0,20
2,ランニングをする,6,0,60,0,0
2,階段を使う,6,0,60,0,0
2,柔軟する,6,0,60,0,0
2,"米、野菜を食べる",6,0,30,30,0
2,夜中に食べない,6,0,60,0,0
2,6時間以上の睡眠,7,0,70,0,0
2,ストレス発散をする,7,10,30,20,10
2,筋トレをする,7,0,70,0,0
2,お風呂で浴槽に入る,8,0,80,0,0
2,スマホをやりすぎない,8,20,20,20,20
2,栄養が偏らない食事をとる,8,10,50,20,0
2,"寝る前のＰＣ、スマホ類をやめる",8,0,80,0,0
2,1日一万歩,9,70,20,0,0
2,めんどくさがらないで体を動かす,9,25,40,25,0
2,ヨガをする,9,0,90,0,0
2,階段ダッシュ1往復,9,0,90,0,0
2,手作り弁当を食べる,9,30,60,0,0
2,朝ラジオ体操する,9,0,10,0,80
3,ご飯を食べたらお皿を洗う,1,0,0,10,0
3,ポイ捨てをしない,1,0,0,10,0
3,帰ったら手洗いうがいをする,1,0,5,5,0
3,教科書を持ってくる,1,5,0,5,0
3,講義は静かにする,1,5,0,5,0
3,授業開始の5分前には教室に入る,1,5,0,5,0
3,信号無視をしない,1,0,0,10,0
3,寝る前の歯磨き,1,0,0,10,0
3,人には親切にする,1,0,0,10,0
3,図書室では静かに,1,0,0,10,0
3,未成年はお酒を飲まない,1,0,0,10,0
3,未成年はタバコを吸わない,1,0,0,10,0
3,ごはんを残さない,2,0,15,5,0
3,なるべくごみを出さない,2,0,0,20,0
3,机・イスの整理,2,0,0,20,0
3,道に落ちているごみを捨てる,2,0,0,20,0
3,ごみの分別,3,0,0,30,0
3,スーパーで袋を3円とかで買わない,3,5,5,10,10
3,正しい言葉使い,3,0,0,20,10
3,目上の人には敬意を表す,3,0,0,30,0
3,計画を立てて行動する,4,0,0,40,0
